Date,Season,Div,HomeTeam,AwayTeam,y,model_p_H,model_p_D,model_p_A,model_mondrian_size_a10,model_mondrian_mask_a10,model_mondrian_size_a20,model_mondrian_mask_a20,model_mondrian_size_a30,model_mondrian_mask_a30,market_p_H,market_p_D,market_p_A,market_mondrian_size_a10,market_mondrian_mask_a10,market_mondrian_size_a20,market_mondrian_mask_a20,market_mondrian_size_a30,market_mondrian_mask_a30
2025-08-24,2025,I1,Atalanta,Pisa,1,0.7556530349798953,0.15072456226832512,0.09362240275177959,2,HD,1,H,1,H,0.6424335602899188,0.21128925982868435,0.14627717988139682,2,HD,1,H,1,H
2025-08-25,2025,SP1,Ath Bilbao,Vallecano,0,0.5087430628759582,0.30695585331189196,0.18430108381214988,3,HDA,2,HD,2,HD,0.5571635311143271,0.27062228654124454,0.17221418234442834,2,HD,2,HD,2,HD
2025-08-25,2025,SP1,Sevilla,Getafe,2,0.4931541383266449,0.26929882168769836,0.23754703998565674,3,HDA,3,HDA,2,HD,0.47459604709542835,0.30619099812608286,0.21921295477848882,3,HDA,2,HD,2,HD
2025-08-25,2025,E0,Newcastle,Liverpool,2,0.25971100508305445,0.3315496543511645,0.40873934056578104,2,DA,2,DA,2,DA,0.32611264277274515,0.26270185112248917,0.41118550610476573,3,HDA,2,DA,2,DA
2025-08-25,2025,I1,Inter,Torino,0,0.7431795929303583,0.14396991479262328,0.11285049227701838,1,H,1,H,1,H,0.6983240223463688,0.18994413407821226,0.11173184357541895,1,H,1,H,1,H
2025-08-25,2025,I1,Udinese,Verona,1,0.5288016121268032,0.3128485633008396,0.15834982457235716,2,HD,2,HD,2,HD,0.4855025490986178,0.29585311585697016,0.21864433504441216,3,HDA,2,HD,2,HD
2025-08-27,2025,SP1,Celta,Betis,1,0.3975960612297058,0.2782003581523895,0.32420358061790466,3,HDA,3,HDA,2,DA,0.4041204437400951,0.2793185419968304,0.3165610142630745,3,HDA,3,HDA,2,DA
2025-08-29,2025,F1,Lens,Brest,0,0.46002599596977234,0.3042397201061249,0.23573428392410278,3,HDA,3,HDA,2,HD,0.49022277901846506,0.26009041886813017,0.24968680211340483,3,HDA,3,HDA,2,HD
2025-08-29,2025,D1,Hamburg,St Pauli,2,0.4012464762291227,0.36787282084850165,0.23088070292237564,3,HDA,3,HDA,1,D,0.3872529245663574,0.2964905203711174,0.3162565550625252,3,HDA,2,DA,2,DA
2025-08-29,2025,SP1,Valencia,Getafe,0,0.5403076845315788,0.2667434136049922,0.1929489018634289,3,HDA,2,HD,2,HD,0.4050632911392405,0.33052039381153303,0.26441631504922647,3,HDA,3,HDA,1,D
